dataset,reuse_target,actual_reuse,main_memory_gb,global_buffer_mb,policy,policy_label,h2,h_dram,h_disk,hit_rate,h2_rate,h_dram_rate,h_disk_rate,total_energy_mJ,total_latency_ms,energy_nJ_per_query,latency_us_per_query
fever,2.41,2.402818024979696,16,128,lfu_l1_l2,LFU L1/L2,533652,50170,416178,0.583822,0.533652,0.05017,0.416178,35.85515204736,41618.75831476221,358.5515204736,416.18758314762215
fever,2.41,2.402818024979696,16,128,opt_two_tier,OPT L1/L2,547098,36724,416178,0.583822,0.547098,0.036724,0.416178,35.274388112640004,41618.7414963127,352.74388112639997,416.1874149631271
fiqa,4.47,4.328123715088272,1,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
fiqa,4.47,4.328123715088272,1,128,lfu_l1,LFU L1 (SRAM),765456,0,234544,0.765456,0.765456,0.0,0.234544,24.026659502080005,23455.06837099674,240.26659502080003,234.55068370996742
fiqa,4.47,4.328123715088272,1,128,lfu_l2,LFU L2 (DRAM),0,768953,231047,0.768953,0.0,0.768953,0.231047,57.05351,23106.325814332245,570.5350999999999,231.06325814332246
fiqa,4.47,4.328123715088272,1,128,lfu_l1_l2,LFU L1/L2,765456,3497,231047,0.768953,0.765456,0.003497,0.231047,23.991689502080003,23105.36837099674,239.91689502080004,231.0536837099674
fiqa,4.47,4.328123715088272,1,128,opt_two_tier,OPT L1/L2,765834,3119,231047,0.768953,0.765834,0.003119,0.231047,23.975362805120003,23105.36789818892,239.75362805120002,231.05367898188925
fiqa,4.47,4.328123715088272,2,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
fiqa,4.47,4.328123715088272,2,128,lfu_l1,LFU L1 (SRAM),765456,0,234544,0.765456,0.765456,0.0,0.234544,24.026659502080005,23455.06837099674,240.26659502080003,234.55068370996742
fiqa,4.47,4.328123715088272,2,128,lfu_l2,LFU L2 (DRAM),0,768953,231047,0.768953,0.0,0.768953,0.231047,57.05351,23106.325814332245,570.5350999999999,231.06325814332246
fiqa,4.47,4.328123715088272,2,128,lfu_l1_l2,LFU L1/L2,765456,3497,231047,0.768953,0.765456,0.003497,0.231047,23.991689502080003,23105.36837099674,239.91689502080004,231.0536837099674
fiqa,4.47,4.328123715088272,2,128,opt_two_tier,OPT L1/L2,765834,3119,231047,0.768953,0.765834,0.003119,0.231047,23.975362805120003,23105.36789818892,239.75362805120002,231.05367898188925
fiqa,4.47,4.328123715088272,4,128,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
fiqa,4.47,4.328123715088272,4,128,lfu_l1,LFU L1 (SRAM),765456,0,234544,0.765456,0.765456,0.0,0.234544,24.026659502080005,23455.06837099674,240.26659502080003,234.55068370996742
fiqa,4.47,4.328123715088272,4,128,lfu_l2,LFU L2 (DRAM),0,768953,231047,0.768953,0.0,0.768953,0.231047,57.05351,23106.325814332245,570.5350999999999,231.06325814332246
